Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,ID Părinte,Nume 1,Hartă 1,Limbă 1
Baranca,baranca,3,47.0274192445487,22.2346217918627,Bihor,Altele,11334,,Baranca,ANCPI,Limba română
Baranca,baranca,3,46.9022163976201,22.1248468593086,Bihor,Altele,12365,,Baranca,PDT,Limba română
Baranca,baranca,3,48.1951439865987,26.4790708117971,Botosani,Localitate,12757,,Baranca,Geomil 25000,Limba română
Baranca,baranca,3,48.1349096599115,26.316445920382,Botosani,Localitate,13630,,Baranca,Geomil 25000,Limba română
Valea Baranca,baranca,3,48.1550882518173,26.5005100593646,Botosani,Vale,14094,,Valea Baranca,Geomil 25000,Limba română
Lacul Barancea,barancea,3,47.8131814759544,26.8515602628314,Botosani,Lac,15947,,Lacul Barancea,ANCPI,Limba română
Privalul Baranga,baranga,2,44.3191736629298,27.7925272884399,Calarasi,Apă-deal-câmpie,3455,,Privalul Baranga,PDT,Limba română
Balta Baranga,baranga,2,44.6639562007164,25.783769221292,Dambovita,Lac,11279,,Balta Baranga,Geomil 25000,Limba română
Pârâu Baranga,baranga,2,44.7104450935765,25.7443064327638,Dambovita,Vale,11278,11279,Pârâu Baranga,Geomil 25000,Limba română
Măgura lui Barangă,baranga,2,43.9854384319237,23.5815431366384,Dolj,Înălțime,9974,,Măgura lui Barangă,Geomil 25000,Limba română
Baranca,baranca,3,47.8496906245116,26.2082967097829,Suceava,Vale,14153,,Baranca,Geomil 25000,Limba română
Pădurea Baranca,baranca,3,47.5899126964619,26.0096392945313,Suceava,Pădure,11406,,Pădurea Baranca,Geomil 25000,Limba română
Pădurea Baranca,baranca,3,47.8410092235651,26.2136316518553,Suceava,Pădure,14154,14153,Pădurea Baranca,Geomil 25000,Limba română
Cotul lui Baranga,baranga,2,47.7173901928181,26.4364954058367,Suceava,Apă-deal-câmpie,15812,,Cotul lui Baranga,PDT,Limba română
Dealul lui Baranga,baranga,2,45.286552056834,28.1322934387271,Tulcea,Deal,6685,,Dealul lui Baranga,PDT,Limba română
La Bărăngești,bărăngești,3,44.8269912051089,24.2803312342384,Valcea,Altele,15754,,La Bărăngești,PDT,Limba română
